context,horizon,p,q,step_residual,change_from_previous_horizon
business,25,0.596966554535,1,2.05391259556e-14,
business,50,0.596966554535,1,0,2.86437540353e-14
business,100,0.596966554535,1,0,0
business,200,0.596966554535,1,0,0
business,500,0.596966554535,1,0,0
classroom,25,1,0.999999999722,1.649435033e-10,
classroom,50,1,1,0,2.77949219196e-10
classroom,100,1,1,0,0
classroom,200,1,1,0,0
classroom,500,1,1,0,0
sport,25,0.999986992872,1,4.7133780926e-06,
sport,50,0.999999999831,1,6.13096240443e-11,1.30069592768e-05
sport,100,1,1,0,1.6918966228e-10
sport,200,1,1,0,0
sport,500,1,1,0,0
