n_labels,angle_degrees,intercept_offset
4,-26.0,-0.96
4,-26.0,-0.94
4,-25.5,-0.98
4,-25.5,-0.96
4,-25.5,-0.94
4,-25.5,-0.92
4,-25.0,-0.98
4,-25.0,-0.96
4,-25.0,-0.94
4,-25.0,-0.92
4,-25.0,-0.9
4,-25.0,-0.88
4,-24.5,-0.98
4,-24.5,-0.96
4,-24.5,-0.94
4,-24.5,-0.92
4,-24.5,-0.9
4,-24.5,-0.88
4,-24.5,-0.86
4,-24.5,-0.84
4,-24.0,-1.0
4,-24.0,-0.98
4,-24.0,-0.96
4,-24.0,-0.94
4,-24.0,-0.92
4,-24.0,-0.9
4,-24.0,-0.88
4,-24.0,-0.86
4,-24.0,-0.84
4,-24.0,-0.8200000000000001
4,-23.5,-1.0
4,-23.5,-0.98
4,-23.5,-0.96
4,-23.5,-0.94
4,-23.5,-0.92
4,-23.5,-0.9
4,-23.5,-0.88
4,-23.5,-0.86
4,-23.5,-0.84
4,-23.5,-0.8200000000000001
4,-23.5,-0.8
4,-23.5,-0.78
4,-23.0,-1.0
4,-23.0,-0.98
4,-23.0,-0.96
4,-23.0,-0.94
4,-23.0,-0.92
4,-23.0,-0.9
4,-23.0,-0.88
4,-23.0,-0.86
4,-23.0,-0.84
4,-23.0,-0.8200000000000001
4,-23.0,-0.8
4,-23.0,-0.78
4,-23.0,-0.76
4,-22.5,-1.0
4,-22.5,-0.98
4,-22.5,-0.96
4,-22.5,-0.94
4,-22.5,-0.92
4,-22.5,-0.9
4,-22.5,-0.88
4,-22.5,-0.86
4,-22.5,-0.84
4,-22.5,-0.8200000000000001
4,-22.5,-0.8
4,-22.5,-0.78
4,-22.5,-0.76
4,-22.5,-0.74
4,-22.5,-0.72
4,-22.0,-1.0
4,-22.0,-0.98
4,-22.0,-0.96
4,-22.0,-0.94
4,-22.0,-0.92
4,-22.0,-0.9
4,-22.0,-0.88
4,-22.0,-0.86
4,-22.0,-0.84
4,-22.0,-0.8200000000000001
4,-22.0,-0.8
4,-22.0,-0.78
4,-22.0,-0.76
4,-22.0,-0.74
4,-22.0,-0.72
4,-22.0,-0.7
4,-21.5,-1.0
4,-21.5,-0.98
4,-21.5,-0.96
4,-21.5,-0.94
4,-21.5,-0.92
4,-21.5,-0.9
4,-21.5,-0.88
4,-21.5,-0.86
4,-21.5,-0.84
4,-21.5,-0.8200000000000001
4,-21.5,-0.8
4,-21.5,-0.78
4,-21.5,-0.76
4,-21.5,-0.74
4,-21.5,-0.72
4,-21.5,-0.7
4,-21.5,-0.6799999999999999
4,-21.5,-0.6599999999999999
4,-21.0,-1.0
4,-21.0,-0.98
4,-21.0,-0.96
4,-21.0,-0.94
4,-21.0,-0.92
4,-21.0,-0.9
4,-21.0,-0.88
4,-21.0,-0.86
4,-21.0,-0.84
4,-21.0,-0.8200000000000001
4,-21.0,-0.8
4,-21.0,-0.78
4,-21.0,-0.76
4,-21.0,-0.74
4,-21.0,-0.72
4,-21.0,-0.7
4,-21.0,-0.6799999999999999
4,-21.0,-0.6599999999999999
4,-21.0,-0.64
4,-20.5,-1.0
4,-20.5,-0.98
4,-20.5,-0.96
4,-20.5,-0.94
4,-20.5,-0.92
4,-20.5,-0.9
4,-20.5,-0.88
4,-20.5,-0.86
4,-20.5,-0.84
4,-20.5,-0.8200000000000001
4,-20.5,-0.8
4,-20.5,-0.78
4,-20.5,-0.76
4,-20.5,-0.74
4,-20.5,-0.72
4,-20.5,-0.7
4,-20.5,-0.6799999999999999
4,-20.5,-0.6599999999999999
4,-20.5,-0.64
4,-20.5,-0.62
4,-20.5,-0.6
4,-20.0,-1.0
4,-20.0,-0.98
4,-20.0,-0.96
4,-20.0,-0.94
4,-20.0,-0.92
4,-20.0,-0.9
4,-20.0,-0.88
4,-20.0,-0.86
4,-20.0,-0.84
4,-20.0,-0.8200000000000001
4,-20.0,-0.8
4,-20.0,-0.78
4,-20.0,-0.76
4,-20.0,-0.74
4,-20.0,-0.72
4,-20.0,-0.7
4,-20.0,-0.6799999999999999
4,-20.0,-0.6599999999999999
4,-20.0,-0.64
4,-20.0,-0.62
4,-20.0,-0.6
4,-20.0,-0.5800000000000001
4,-19.5,-1.0
4,-19.5,-0.98
4,-19.5,-0.96
4,-19.5,-0.94
4,-19.5,-0.92
4,-19.5,-0.9
4,-19.5,-0.88
4,-19.5,-0.86
4,-19.5,-0.84
4,-19.5,-0.8200000000000001
4,-19.5,-0.8
4,-19.5,-0.78
4,-19.5,-0.76
4,-19.5,-0.74
